File Name,File Type,Download URL
Vid_2048 - 'Can' and 'May'.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2048 - 'Can' and 'May'.mp4
Vid_2049 - Transition Words Giving examples.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2049 - Transition Words Giving examples.mp4
Vid_2050 - Transition Words -Emphasis.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2050 - Transition Words -Emphasis.mp4
Vid_2051 - Transition Words - Concurrence.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2051 - Transition Words - Concurrence.mp4
Vid_2052 - Transition words - Concluding.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2052 - Transition words - Concluding.mp4
Vid_2053 - Transition Intro.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2053 - Transition Intro.mp4
Vid_2054 - Transition Sequencing.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2054 - Transition Sequencing.mp4
Vid_2055 - Transition - Cause and Effect.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2055 - Transition - Cause and Effect.mp4
Vid_2056 - Transition Compare and Contrast.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2056 - Transition Compare and Contrast.mp4
Vid_2057 - How to Preteach.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2057 - How to Preteach.mp4
Vid_2058 - Preteach - Choosing words.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2058 - Preteach - Choosing words.mp4
Vid_2059 - Phrase and a clause.mp4,mp4,https://chippersageblr.s3.ap-south-1.amazonaws.com/Learner Videos/Vid_2059 - Phrase and a clause.mp4
